           1    -5.04924    -5.04924           0
           2    -5.03168    -5.04046  0.00620825
           3    -5.00455    -5.02849   0.0106144
           4    -5.05944    -5.03623   0.0104046
           5    -5.04406    -5.03779  0.00844057
           6    -5.01113    -5.03335  0.00811957
           7     -4.9799    -5.02572  0.00991999
           8    -5.02051    -5.02507   0.0087013
           9    -5.05284    -5.02815  0.00826351
          10    -5.04136    -5.02947  0.00754204
          11    -5.03473    -5.02995   0.0068715
          12    -4.98623    -5.02631  0.00720016
          13    -5.03515    -5.02699  0.00667837
          14    -5.02395    -5.02677  0.00620486
          15    -5.01251    -5.02582  0.00586354
          16    -5.00118    -5.02428  0.00569574
          17    -5.05013     -5.0258  0.00556002
          18    -5.00533    -5.02466  0.00536613
          19    -5.04724    -5.02585  0.00521362
          20    -4.99988    -5.02455  0.00511208
