-0.56218    0.195551
-0.635221    0.305322
-0.266362    0.146767
0.582447    -0.458267
0.989616    -0.966837
0.469099    -0.881586
0.392193    -0.979697
-0.0394624    -0.909221
0.200848    -0.531122
-0.341427    -0.42971
-0.904845    -0.575706
-0.976617    -0.224768
-0.786987    0.144119
-0.786987    0.144119
-0.635221    0.305322
-0.44551    0.727828
-0.446829    0.90402
-0.446829    0.90402
-0.567471    0.959615
-0.786946    0.974266
-0.824612    0.70691
-0.909857    0.684303
-0.844106    0.534466
-0.506014    0.395559
-0.138261    0.277586
-0.138261    0.277586
0.692151    -0.0125423
0.647274    -0.125084
0.90807    -0.274819
0.984939    -0.181672
0.946493    -0.0372623
0.512756    0.507953
0.849553    0.979364
0.99204    0.900878
