         100   -0.721236   0.0214312   0.0422884         0.5
         100   -0.070872  -0.0172686   0.0200508         0.6
         100   -0.021704 -0.00278776  0.00902512         0.7
         100   -0.013672   0.0117113   0.0061128         0.8
         100     0.06606 -0.00739848  0.00402313         0.9
         100    0.022684  0.00774008  0.00296862           1
         100     0.00806  0.00121684  0.00240796         1.1
         100    0.025456 -0.00148104  0.00179215         1.2
         100    0.022752  0.00288356  0.00169154         1.3
         100    0.009532 -0.00013328  0.00133417         1.4
         100    -0.01154  -0.0009198  0.00104841         1.5
         100    0.015728 -0.00083272 0.000968175         1.6
         100   -0.003736  0.00113292 0.000820056         1.7
         100   -0.007048  0.00108612 0.000739218         1.8
         100     0.01028  -0.0002622 0.000677075         1.9
         100   -0.001144   7.744e-05 0.000679008           2
