           1    -7.55712    -7.55712           0
           2    -7.54937    -7.55325  0.00274052
           3    -7.53939    -7.54863  0.00419043
           4     -7.5577     -7.5509  0.00370617
           5    -7.54867    -7.55045   0.0029916
           6    -7.55204    -7.55072  0.00250472
           7    -7.54903    -7.55047  0.00215846
           8    -7.54494    -7.54978  0.00199626
           9    -7.55127    -7.54995  0.00178126
          10    -7.55153    -7.55011  0.00161018
          11    -7.53165    -7.54843  0.00216815
          12    -7.54968    -7.54853  0.00198998
          13     -7.5493    -7.54859  0.00183777
          14    -7.55308    -7.54891  0.00173425
          15    -7.54741    -7.54881  0.00162152
          16    -7.53357    -7.54786    0.001778
          17    -7.54599    -7.54775   0.0016768
          18    -7.54002    -7.54732  0.00163774
          19    -7.54918    -7.54742  0.00155445
          20    -7.53929    -7.54701  0.00152893
